File,inbound x velocity ,inbound y velocity,inbound velocity,outbound x velocity,outbound y velocity,outbound velocity,contact time,deformation
CT_0.6_1,19.15997776,3.794768613,19.5321534,14.02270516,1.318937253,14.08459639,0.0078,0.176160619
CT_0.6_2,21.26190293,3.386578452,21.52991941,14.75108669,2.096848686,14.89937357,0.0069,0.174646611
CT_0.6_3,18.70867232,2.923275152,18.93567949,14.03880489,2.677077077,14.29177331,0.0075,0.174900372
CT_0.6_4,19.00626082,4.131864813,19.45019941,14.12436938,2.188515591,14.2929147,0.0072,0.17797186
CT_0.6_5,19.15090118,3.742963812,19.51324664,13.74722834,2.851816334,14.03991251,0.0074,0.179148243
CT_0.6_6,18.16613693,3.001494529,18.41242788,13.09199886,2.004510421,13.24456478,0.0068,0.18093593
CT_0.6_7,15.896882,2.994186602,16.1764029,12.1650663,1.618629413,12.27227768,0.0063,0.187568279
CT_0.6_8,13.39273533,2.86986955,13.69677009,10.57726829,1.87828584,10.74274463,0.0062,0.192020035
CT_0.6_9,16.28080547,2.910563054,16.53892391,12.28846438,2.058643004,12.45970978,0.0075,0.179811107
CT_0.6_10,16.6046821,3.594192223,16.98922262,12.73172222,1.294160727,12.79732795,0.0041,0.190974071
CT_0.6_11,14.17849124,3.08711967,14.51068301,10.85126191,1.635269368,10.97378654,0.006,0.191010907
CT_0.6_12,13.25918799,3.265567993,13.65540188,10.95669967,2.275065392,11.19040617,0.0089,0.181415276
CT_0.6_13,15.05030862,3.229849723,15.39297628,10.38078159,1.943196821,10.56109086,0.0076,0.186300029
CT_0.6_14,14.45822617,2.616978539,14.69315761,10.63261291,2.318160127,10.88238593,0.006,0.193537449
CT_0.6_15,12.67132311,2.768044562,12.97013879,10.04033672,2.038836629,10.24525335,0.0097,0.178381698
CT_0.6_16,10.01383338,2.707996131,10.37352891,8.869348776,1.716586209,9.033936901,0.0082,0.19496228
CT_0.6_17,12.10413815,2.659661034,12.39289946,8.60710221,1.822420122,8.797921547,0.0035,0.193774933
CT_0.6_18,11.54009576,2.655674063,11.84172348,8.530587994,1.831261477,8.724932671,0.0091,0.190086014
CT_0.6_19,11.03805438,2.884340853,11.40868382,8.498793543,1.121769647,8.572505983,0.0097,0.188002238
CT_0.6_20,12.05049002,2.485757717,12.30419852,9.641400163,0.97647696,9.690722592,0.008,0.195148428
CT_0.8_1,10.30989988,3.107865983,10.76814127,8.412356451,1.937944845,8.632692006,0.008,0.197565665
CT_0.8_2,9.640797889,3.110052438,10.13002518,8.46811404,1.792826012,8.655817726,0.0048,0.206947878
