x_wall,x2_wall,xl_list
390,81,836
390,81,833
390,81,829
390,81,826
390,81,822
390,81,817
390,81,815
390,81,811
390,81,806
390,81,803
390,81,799
390,81,796
390,81,792
390,81,788
390,81,784
390,81,780
390,81,777
390,81,773
390,81,769
390,81,766
390,81,762
390,81,758
390,81,755
390,81,751
390,81,747
390,81,744
390,81,740
390,81,736
390,81,732
390,81,728
390,81,725
390,81,721
390,81,718
390,81,714
390,81,710
390,81,706
390,81,703
390,81,699
390,81,695
390,81,692
390,81,689
390,81,685
390,81,681
390,81,678
390,81,674
390,81,671
390,81,666
390,81,663
390,81,659
390,81,655
390,81,652
390,81,649
390,81,644
390,81,641
390,81,637
390,81,633
390,81,628
390,81,626
390,81,622
390,81,618
390,81,614
390,81,611
390,81,607
390,81,604
390,81,600
390,81,596
390,81,592
390,81,589
390,81,584
390,81,581
390,81,577
390,81,573
390,81,569
390,81,566
390,81,562
390,81,558
390,81,555
390,81,551
390,81,547
390,81,543
390,81,539
390,81,536
390,81,532
390,81,528
390,81,525
390,81,522
390,81,518
390,81,515
390,81,510
390,81,507
390,81,503
390,81,500
390,81,496
390,81,492
390,81,489
390,81,484
390,81,482
390,81,478
390,81,474
390,81,471
390,81,468
390,81,464
390,81,460
390,81,457
390,81,453
390,81,450
390,81,446
390,81,442
390,81,438
390,81,433
390,81,430
390,81,427
390,81,423
390,81,420
390,81,416
390,81,413
390,81,409
390,81,406
390,81,404
390,81,400
390,81,397
390,81,395
390,81,386
390,81,389
390,81,380
390,81,377
390,81,375
390,81,373
390,81,371
390,81,369
390,81,367
390,81,365
390,81,363
390,81,362
390,81,360
390,81,359
390,81,357
390,81,356
390,81,355
390,81,354
390,81,353
390,81,359
390,81,353
390,81,353
390,81,352
390,81,352
390,81,353
390,81,360
390,81,354
390,81,355
390,81,361
390,81,364
390,81,365
390,81,365
390,81,366
390,81,368
390,81,371
390,81,372
390,81,374
390,81,376
390,81,380
390,81,382
390,81,384
390,81,386
390,81,388
390,81,391
390,81,393
390,81,397
390,81,400
390,81,402
390,81,403
390,81,405
390,81,408
390,81,411
390,81,413
390,81,416
390,81,418
390,81,427
390,81,432
390,81,428
390,81,430
390,81,439
390,81,443
390,81,445
390,81,449
390,81,452
390,81,455
390,81,458
390,81,460
390,81,464
390,81,468
390,81,471
390,81,474
390,81,475
390,81,480
390,81,482
390,81,484
390,81,487
390,81,490
390,81,493
390,81,496
390,81,499
390,81,502
390,81,504
390,81,508
390,81,511
390,81,514
390,81,516
390,81,520
390,81,522
390,81,526
390,81,529
390,81,532
390,81,535
390,81,538
390,81,541
390,81,544
390,81,546
390,81,548
390,81,552
390,81,554
390,81,558
390,81,561
390,81,563
390,81,566
390,81,568
390,81,572
390,81,575
390,81,577
390,81,579
390,81,583
390,81,585
390,81,588
390,81,591
390,81,594
390,81,597
390,81,599
390,81,601
390,81,604
390,81,606
390,81,610
390,81,612
390,81,615
390,81,618
390,81,620
390,81,625
390,81,627
390,81,630
390,81,633
390,81,635
390,81,638
390,81,641
390,81,644
390,81,647
390,81,649
390,81,652
390,81,655
390,81,658
390,81,661
390,81,663
390,81,667
390,81,670
390,81,672
390,81,675
390,81,678
390,81,681
390,81,685
390,81,687
390,81,689
390,81,693
390,81,695
390,81,697
390,81,700
390,81,709
390,81,712
390,81,714
390,81,717
390,81,719
390,81,723
390,81,725
390,81,728
390,81,731
390,81,735
390,81,738
390,81,739
390,81,742
390,81,745
390,81,749
390,81,752
390,81,754
390,81,758
390,81,760
390,81,763
390,81,766
390,81,769
390,81,773
390,81,775
390,81,779
390,81,782
390,81,784
390,81,793
390,81,795
390,81,797
390,81,800
390,81,802
390,81,807
390,81,809
390,81,811
390,81,815
390,81,817
390,81,820
390,81,822
390,81,825
390,81,827
390,81,836
390,81,838
390,81,840
390,81,844
390,81,847
390,81,850
390,81,852
390,81,855
390,81,858
390,81,861
