File,inbound x velocity ,inbound y velocity,inbound velocity,outbound x velocity,outbound y velocity,outbound velocity,contact time,deformation
CL_0.6_2,11.07914825,2.697693704,11.40285391,9.331575707,1.171348931,9.40480534,0.0053,0.196586396
CL_0.6_3,10.32259248,2.879700735,10.71674352,9.068511675,1.744071323,9.234700254,0.0099,0.185401673
CL_0.6_4,11.74766489,3.091434847,12.14761704,8.087826247,1.748791288,8.274732888,0.0098,0.187327637
CL_0.6_5,10.63617961,2.951618025,11.03813235,8.774868973,1.786933711,8.954968318,0.0082,0.190776949
CL_0.6_6,11.21940498,2.968299523,11.60542331,9.095629396,2.065403419,9.327184216,0.007,0.193570456
CL_0.6_7,10.76270358,2.441345205,11.03612045,8.993183458,1.278739815,9.083640472,0.009,0.189782087
CL_0.6_8,10.97659467,2.670096504,11.29668296,9.9433424,1.670958777,10.08276556,0.0079,0.194686838
CL_0.6_9,10.73682265,2.952427654,11.13535764,9.213065261,1.56489988,9.345024512,0.0088,0.191285416
CL_0.6_12,16.56173534,3.036564714,16.83780872,11.46175336,1.821072726,11.60552006,0.0078,0.182294144
CL_0.6_13,13.01365227,1.907151244,13.15265644,9.991553981,1.340665379,10.08109789,0.0065,0.187397045
CL_0.6_14,12.99350842,1.961334871,13.14070377,10.22011099,1.530694466,10.33410345,0.0083,0.184139348
CL_0.6_15,12.79771733,2.343298398,13.01048101,9.819141518,1.091044185,9.879570718,0.0077,0.186377747
CL_0.6_16,13.94810133,2.814810282,14.22928978,11.28646914,1.209436546,11.35108463,0.0068,0.187918736
CL_0.6_17,13.81777068,3.077583588,14.15635219,10.92831808,1.77376096,11.07133073,0.0068,0.193435165
CL_0.6_18,14.23676679,3.17048119,14.58552295,11.4323397,1.000351589,11.47602258,0.0064,0.187798611
CL_0.6_20,18.02251374,4.24079071,18.51473217,13.82995601,2.30501045,14.02072596,0.0077,0.174585008
CL_0.6_21,16.74855023,2.895812924,16.99704878,12.12037597,2.160343216,12.31140108,0.0077,0.178206148
CL_0.6_22,15.30219221,3.457575105,15.68795436,11.61004924,1.839181919,11.75482172,0.0074,0.180979369
CL_0.6_23,19.09138795,4.665190364,19.65311922,13.64331581,2.431468664,13.85828655,0.0078,0.178678216
CL_0.6_24,16.95981246,2.699879233,17.17336853,13.01170587,2.627567661,13.2743588,0.0084,0.175603076
CL_0.6_25,18.71056607,3.7074441,19.07433942,13.8865332,1.483054677,13.96550233,0.0077,0.178706914
CL_0.6_26,17.39189099,3.555262481,17.75155665,12.78487072,1.299390438,12.85073286,0.0088,0.167802376
CL_0.6_28,20.25842511,3.085023853,20.49197795,14.84687975,2.999315249,15.14680594,0.0088,0.164124903
CL_0.6_29,19.96742291,3.103941439,20.20723708,14.6961678,1.671856034,14.79095841,0.0072,0.176452236
CL_0.6_30,20.00309256,3.365076041,20.28416744,13.54003221,2.306474507,13.73507542,0.0077,0.173522321
CL_0.6_31,20.58201408,2.668111281,20.75423141,13.44174645,1.983172731,13.58725586,0.0085,0.161474239
CL_0.6_33,19.56516689,2.020866359,19.66925662,14.54467533,2.507896094,14.75930633,0.0082,0.167657548
CL_0.6_34,20.71009383,2.930957819,20.91646481,14.67885551,2.523085687,14.89411832,0.0086,0.164234641
CL_0.6_122,16.56173534,3.036564714,16.83780872,11.46175336,1.821072726,11.60552006,0.0078,0.182294144
CL_0.6_132,13.01365227,1.907151244,13.15265644,9.991553981,1.340665379,10.08109789,0.0065,0.187397045
CL_0.6_142,12.99350842,1.961334871,13.14070377,10.22011099,1.530694466,10.33410345,0.0083,0.184139348
CL_0.6_152,12.84249766,2.351497803,13.05600582,9.819147992,0.516562255,9.832726166,0.0077,0.187029899
CL_0.6_162,13.92816803,2.810787622,14.20895463,,,,0.0033,0.18765018
CL_0.8_1,23.52185178,8.447484656,24.99274912,14.98791894,5.177345752,15.85694243,0.0077,0.167561398
CL_0.8_2,19.39381316,4.459706736,19.8999742,15.18333208,3.15307253,15.50727054,0.008,0.175103522
CL_0.8_3,20.32443959,5.303090072,21.00489488,18.32501152,3.481143132,18.65273183,0.0081,0.171115599
CL_0.8_4,21.74447344,5.666590709,22.47070038,19.29574868,4.147395134,19.73643341,0.007,0.180157284
CL_0.8_5,29.67326518,4.158004888,29.96317191,18.25591976,3.976068106,18.68388942,0.0086,0.161491508
CL_0.8_6,21.66813424,3.426835471,21.93743929,15.74430451,3.149063113,16.05614284,0.0077,0.178849163
CL_0.8_7,19.19710967,4.437747696,19.70336581,14.77133656,2.616809186,15.00133574,0.0079,0.191639687
CL_0.8_8,19.06400659,4.815179724,19.66271352,13.37458377,2.268298863,13.56556931,0.0077,0.180509862
CL_0.8_9,21.10476789,4.598944359,21.60003511,24.12361912,3.787406844,24.41912059,0.0077,0.184650127
CL_0.8_10,16.47810198,8.964803202,18.758879,14.68692689,4.994028197,15.51277342,0.0083,0.174987687
CL_0.8_11,16.03355926,3.062655556,16.32344577,15.49337247,2.474744817,15.68977222,0.0072,0.183981297
CL_0.8_12,14.39462163,2.949009561,14.69359688,12.34483619,1.449426793,12.42963469,0.0083,0.18511773
CL_0.8_13,14.46485795,4.437824207,15.13031392,11.40886509,1.567161842,11.51599752,0.0083,0.182333515
CL_0.8_14,16.55646783,4.217018957,17.08507758,12.95497966,2.914820872,13.27884328,0.0091,0.179855295
CL_0.8_15,14.29650589,3.913079932,14.82235728,12.50691908,2.935619958,12.8468241,0.0099,0.177344105
CL_0.8_16,14.92004998,3.885221182,15.41761444,11.55445513,3.072878557,11.95608699,0.0083,0.185054425
CL_0.8_17,11.74643473,2.696999122,12.05207588,8.321674964,1.746753136,8.50302421,0.0105,0.181947474
CL_0.8_18,11.38071468,3.027567159,11.77653725,9.009044554,2.378927169,9.317841931,0.0099,0.188402504
