x_wall,x2_wall,xl_list
390,85,834
390,85,832
390,85,827
390,85,823
390,85,820
390,85,816
390,85,812
390,85,807
390,85,804
390,85,800
390,85,798
390,85,794
390,85,790
390,85,786
390,85,782
390,85,778
390,85,775
390,85,771
390,85,767
390,85,763
390,85,760
390,85,757
390,85,752
390,85,748
390,85,744
390,85,741
390,85,738
390,85,734
390,85,731
390,85,727
390,85,723
390,85,720
390,85,716
390,85,712
390,85,708
390,85,703
390,85,701
390,85,698
390,85,694
390,85,689
390,85,685
390,85,681
390,85,679
390,85,675
390,85,672
390,85,668
390,85,664
390,85,660
390,85,657
390,85,653
390,85,650
390,85,645
390,85,641
390,85,637
390,85,634
390,85,630
390,85,628
390,85,623
390,85,620
390,85,616
390,85,611
390,85,608
390,85,604
390,85,601
390,85,597
390,85,594
390,85,590
390,85,586
390,85,582
390,85,578
390,85,575
390,85,572
390,85,568
390,85,564
390,85,561
390,85,557
390,85,553
390,85,549
390,85,546
390,85,543
390,85,538
390,85,534
390,85,531
390,85,529
390,85,523
390,85,520
390,85,516
390,85,513
390,85,508
390,85,505
390,85,502
390,85,498
390,85,495
390,85,490
390,85,487
390,85,484
390,85,480
390,85,477
390,85,474
390,85,470
390,85,466
390,85,462
390,85,458
390,85,455
390,85,452
390,85,447
390,85,443
390,85,440
390,85,437
390,85,431
390,85,429
390,85,425
390,85,422
390,85,418
390,85,415
390,85,411
390,85,408
390,85,405
390,85,401
390,85,399
390,85,390
390,85,394
390,85,385
390,85,383
390,85,379
390,85,377
390,85,374
390,85,372
390,85,369
390,85,367
390,85,365
390,85,364
390,85,362
390,85,361
390,85,359
390,85,358
390,85,356
390,85,355
390,85,353
390,85,352
390,85,352
390,85,351
390,85,350
390,85,356
390,85,352
390,85,352
390,85,352
390,85,351
390,85,352
390,85,354
390,85,355
390,85,356
390,85,357
390,85,358
390,85,360
390,85,362
390,85,370
390,85,366
390,85,367
390,85,369
390,85,371
390,85,373
390,85,375
390,85,378
390,85,380
390,85,383
390,85,385
390,85,394
390,85,390
390,85,399
390,85,402
390,85,404
390,85,406
390,85,409
390,85,412
390,85,415
390,85,418
390,85,420
390,85,423
390,85,426
390,85,429
390,85,438
390,85,435
390,85,437
390,85,446
390,85,443
390,85,452
390,85,456
390,85,458
390,85,456
390,85,464
390,85,467
390,85,470
390,85,474
390,85,477
390,85,480
390,85,482
390,85,485
390,85,489
390,85,491
390,85,495
390,85,497
390,85,501
390,85,503
390,85,506
390,85,510
390,85,512
390,85,514
390,85,518
390,85,520
390,85,523
390,85,527
390,85,529
390,85,533
390,85,534
390,85,538
390,85,542
390,85,544
390,85,548
390,85,550
390,85,553
390,85,556
390,85,559
390,85,562
390,85,564
390,85,567
390,85,569
390,85,572
390,85,575
390,85,578
390,85,581
390,85,589
390,85,592
390,85,596
390,85,599
390,85,602
390,85,603
390,85,607
390,85,610
390,85,612
390,85,615
390,85,618
390,85,621
390,85,624
390,85,626
390,85,629
390,85,632
390,85,634
390,85,637
390,85,639
390,85,643
390,85,645
390,85,649
390,85,657
390,85,654
390,85,657
390,85,659
390,85,663
390,85,665
390,85,668
390,85,671
390,85,675
390,85,678
390,85,680
390,85,683
390,85,686
390,85,688
390,85,691
390,85,694
390,85,702
390,85,704
390,85,707
390,85,710
390,85,713
390,85,715
390,85,718
390,85,721
390,85,723
390,85,727
390,85,730
390,85,732
390,85,735
390,85,738
390,85,741
390,85,744
390,85,747
390,85,749
390,85,752
390,85,755
390,85,758
390,85,760
390,85,763
390,85,772
390,85,775
390,85,778
390,85,780
390,85,783
390,85,785
390,85,789
390,85,792
390,85,795
390,85,798
390,85,800
390,85,803
390,85,806
390,85,809
390,85,811
390,85,814
390,85,817
390,85,820
390,85,823
390,85,826
390,85,834
390,85,836
390,85,839
390,85,842
390,85,845
390,85,848
390,85,851
390,85,853
390,85,856
390,85,858
390,85,860
390,85,869
